Player Name,Team,Games Played,Games Started,Minutes Played,Goals,Assists,Shots,Shots on Goal,Fouls Committed,Offsides,Corner Kicks,Penalty Kicks Attempted,Penalty Kick Goals,Yellow Cards,Red Cards,Season
Merritt Mathias,SEA,19,17,1431,1,0,18,9,21,19,2,0,0,2,0,2016
Elise Krieghoff,BOS,6,0,142,1,0,2,1,1,1,0,0,0,0,0,2016
Megan Rapinoe,SEA,5,2,205,1,1,7,5,4,2,3,0,0,0,0,2016
Havana Solaun,SEA,6,3,274,1,0,5,2,1,1,0,0,0,0,0,2016
Rumi Utsugi,SEA,7,6,554,1,0,7,1,2,5,1,0,0,0,0,2016
Keelin Winters,SEA,20,20,1750,1,2,11,4,20,0,0,0,0,2,0,2016
Rachel Corsie,SEA,12,11,1005,1,0,4,1,12,0,0,0,0,3,0,2016
Kelly Conheeney,NJ,13,6,588,1,0,11,6,12,7,1,0,0,1,0,2016
Lauren Barnes,SEA,20,20,1776,1,2,5,3,11,0,44,0,0,1,0,2016
Kathryn Williamson,POR,5,3,198,1,0,1,1,3,0,1,0,0,0,0,2016
Whitney Engen,BOS,14,14,1260,1,1,1,1,3,0,1,0,0,2,0,2016
Mollie Pathman,BOS,13,12,1055,1,0,2,1,5,0,2,0,0,0,0,2016
Meg Morris,POR,7,3,274,1,1,2,1,6,3,0,0,0,2,0,2016
Taylor Lytle,NJ,18,18,1506,1,2,13,3,6,4,0,0,0,0,0,2016
Kelley O'Hara,NJ,12,11,1033,1,2,16,5,12,8,36,0,0,1,0,2016
Raquel Rodriguez,NJ,18,17,1464,1,1,21,11,12,1,0,0,0,1,0,2016
Erica Skroski,NJ,20,20,1798,1,0,2,1,10,1,0,0,0,0,0,2016
Kendall Lorraine Fletcher,SEA,20,20,1755,1,0,6,3,7,1,0,0,0,1,0,2016
Tobin Heath,POR,14,13,1159,1,10,32,16,28,5,55,0,0,1,1,2016
Tori Huster,WAS,19,19,1667,1,1,17,7,14,0,0,0,0,0,0,2016
Alyssa Kleiner,WAS,17,12,1111,1,1,4,2,11,1,0,0,0,1,0,2016
Ali Krieger,WAS,15,14,1267,1,0,8,4,9,1,7,0,0,2,0,2016
Louise Schillgard,BOS,18,16,1428,1,2,5,4,32,5,31,1,1,4,0,2016
Steph Catley,ORL,11,11,990,1,1,7,3,9,1,27,0,0,0,0,2016
Erika Tymrak,KC,17,14,1164,1,2,18,6,9,3,23,0,0,0,0,2016
Becky Sauerbrunn,KC,14,14,1260,1,0,3,2,6,0,1,0,0,1,0,2016
Heather O'Reilly,KC,14,14,1206,1,2,20,8,12,10,54,2,1,2,0,2016
Katie Schoepfer,BOS,12,8,597,1,0,9,5,5,1,0,0,0,1,0,2016
Chioma Ubogagu,HOU,15,9,805,1,1,16,7,8,8,0,0,0,0,0,2016
Kyah Simon,BOS,17,14,1292,1,1,20,7,15,5,1,0,0,1,0,2016
Andressinha,HOU,15,15,1297,1,1,19,8,12,1,37,0,0,1,0,2016
Michaela Hahn,WNY,13,8,659,1,1,7,2,6,0,0,0,0,2,0,2016
Jaelene Hinkle,WNY,15,15,1327,1,3,8,7,16,1,37,1,1,2,0,2016
Amber Brooks,HOU,19,11,1085,1,0,11,2,20,0,1,0,0,1,0,2016
Poliana,HOU,15,15,1324,1,0,12,7,11,2,2,0,0,1,0,2016
Cara Walls,CHI,12,8,702,1,0,9,6,10,8,1,0,0,0,0,2016
Christen Westphal,BOS,13,7,580,1,0,2,2,6,0,0,0,0,0,0,2016
Sam Witteman,ORL,16,12,1062,0,0,4,2,6,0,0,0,0,0,0,2016
Desiree Scott,KC,14,14,1260,0,0,5,2,16,1,0,0,0,2,0,2016
Brooke Elby,BOS,13,11,917,0,0,3,2,9,0,0,0,0,0,1,2016
Brittany Taylor,KC,20,20,1800,0,0,11,4,11,1,1,0,0,0,0,2016
Samantha Johnson,CHI,19,19,1676,0,0,0,0,14,0,0,0,0,2,0,2016
Tiffany Weimer,KC,4,0,17,0,0,0,0,0,0,0,0,0,0,0,2016
Laura Alleway,ORL,11,9,783,0,0,8,4,6,0,0,0,0,2,0,2016
Christina Burkenroad,ORL,7,2,252,0,0,0,0,2,3,0,0,0,0,0,2016
Josee Belanger,ORL,14,14,1082,0,0,3,1,12,1,0,0,0,2,0,2016
Julie Ertz,CHI,12,12,1080,0,0,1,0,7,0,0,0,0,1,0,2016
Lisa De Vanna,ORL,3,2,153,0,0,2,1,1,1,0,0,0,0,0,2016
Mary Luba,CHI,1,0,10,0,0,0,0,0,0,0,0,0,0,0,2016
Becky Edwards,ORL,16,10,806,0,0,4,1,13,0,0,0,0,1,0,2016
Maddy Evans,ORL,16,12,1111,0,1,9,6,16,0,0,0,0,2,0,2016
Jamia Fields,ORL,12,6,627,0,1,3,1,10,4,0,0,0,0,0,2016
Leah Lynn Gabriela Fortune,ORL,3,0,44,0,1,1,0,0,0,0,0,0,0,0,2016
Alyssa Mautz,CHI,18,10,1037,0,2,12,6,19,5,1,0,0,4,0,2016
Monica,ORL,16,15,1377,0,0,5,3,9,0,0,0,0,0,0,2016
Kaylyn Kyle,ORL,18,16,1441,0,0,5,1,18,6,0,0,0,1,0,2016
Sierra Lelii,ORL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
Camille Levin,ORL,10,9,836,0,1,1,0,4,2,0,0,0,0,0,2016
Toni Pressley,ORL,14,11,1028,0,0,8,1,12,1,4,0,0,3,0,2016
Kim Reynolds,ORL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
Dani Weatherholt,ORL,12,9,786,0,0,3,1,12,0,0,0,0,0,0,2016
Allie Wisner,ORL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
Kathleen Naughton,CHI,16,9,861,0,0,1,1,6,1,0,0,0,0,0,2016
McKenzie Berryhill,POR,5,2,182,0,0,0,0,1,0,0,0,0,0,0,2016
Celeste Boureille,POR,6,5,466,0,0,3,0,4,0,0,0,0,0,0,2016
Eunice Beckmann,BOS,11,8,658,0,1,16,6,18,2,1,0,0,3,0,2016
Maureen Fitzgerald,POR,3,2,134,0,0,0,0,2,0,0,0,0,0,0,2016
Courtney Raetzman,CHI,6,0,52,0,0,0,0,1,0,0,0,0,0,0,2016
Amandine Henry,POR,9,8,638,0,1,8,2,16,0,0,0,0,0,0,2016
Rebekah Roller,CHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
Kendall Johnson,POR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
Meghan Klingenberg,POR,14,14,1259,0,0,4,2,8,3,1,0,0,1,0,2016
Samantha Lofton,POR,3,0,54,0,0,1,1,0,0,0,0,0,0,0,2016
Morgan Marlborough,BOS,1,0,23,0,0,2,1,0,2,0,0,0,0,0,2016
Emily Menges,POR,20,20,1800,0,0,1,0,4,0,0,0,0,0,0,2016
Shade Pratt,POR,5,1,140,0,0,1,1,4,0,0,0,0,0,0,2016
Hayley Raso,POR,20,6,751,0,2,9,3,18,8,0,0,0,3,0,2016
Katherine Reynolds,POR,20,18,1671,0,0,1,1,10,0,0,0,0,1,0,2016
Meleana Shim,POR,14,9,812,0,1,4,2,10,1,5,0,0,1,0,2016
Mónica Rose Alvarado Rodriguez,HOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
Jennifer Skogerboe,POR,3,2,210,0,0,0,0,2,0,0,0,0,0,0,2016
Emily Sonnett,POR,15,15,1350,0,0,3,2,7,1,0,0,0,2,0,2016
Mallory Weber,POR,13,7,699,0,0,4,2,8,1,0,0,0,1,0,2016
Kylie Strom,BOS,7,3,343,0,0,0,0,7,0,0,0,0,0,0,2016
Morgan Brian,HOU,13,13,1005,0,0,7,4,5,3,16,0,0,0,0,2016
Michelle Cruz,SEA,4,0,46,0,0,1,0,0,0,0,0,0,0,0,2016
Kiersten Dallstream,SEA,12,2,274,0,0,2,1,5,0,0,0,0,1,0,2016
Lindsay Elston,SEA,12,0,157,0,0,2,1,3,2,0,0,0,1,0,2016
Bianca Brinson,HOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
Stephanie Verdoia,BOS,10,5,452,0,0,6,2,5,1,1,0,0,0,0,2016
Ellie Brush,HOU,15,15,1336,0,0,2,0,11,0,1,0,0,4,0,2016
Kassey Kallman,BOS,20,20,1800,0,0,0,0,9,0,0,0,0,0,0,2016
Allysha Chapman,HOU,9,8,711,0,0,2,1,6,0,0,0,0,1,0,2016
Paige Nielsen,SEA,2,0,26,0,0,1,0,0,1,0,0,0,0,0,2016
Carson Pickett,SEA,15,8,841,0,1,5,2,3,0,0,0,0,0,1,2016
Megan Crosson,HOU,4,1,115,0,0,0,0,1,0,8,0,0,1,0,2016
Elli Reed,SEA,16,14,1284,0,0,1,0,8,1,0,0,0,2,0,2016
Rachel Wood,BOS,7,2,260,0,0,4,0,5,1,0,0,0,0,0,2016
Tessa Florio-Gavilsky,HOU,3,0,54,0,0,1,0,2,1,1,0,0,0,0,2016
Anna María Gilbertson Rojas,HOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
Caity Heap,HOU,6,2,127,0,0,1,0,3,0,0,0,0,2,0,2016
Melissa Henderson,HOU,7,4,321,0,1,1,0,4,3,8,0,0,0,0,2016
Kim DeCesare,NJ,6,3,244,0,0,2,1,3,0,0,0,0,0,0,2016
Theresa Diederich,NJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
Courtney Kathryn 'Coco' Goodson,NJ,1,0,8,0,0,0,0,0,0,0,0,0,0,0,2016
Shawna Gordon,NJ,11,5,444,0,0,4,1,2,1,2,0,0,0,0,2016
Kristin Grubka,NJ,15,14,1267,0,1,3,1,16,2,1,0,0,2,0,2016
Danielle Colaprico,CHI,20,20,1784,0,2,6,5,19,0,31,0,0,0,0,2016
Rebecca Moros,HOU,17,17,1521,0,2,6,2,17,0,0,0,0,0,0,2016
Ghoutia Karchouni,BOS,3,1,100,0,0,1,0,1,0,1,0,0,0,0,2016
Stephanie Ochs,HOU,12,3,381,0,2,5,3,4,2,4,0,0,0,0,2016
Amanda DaCosta,CHI,13,8,664,0,0,9,2,9,1,1,0,0,0,0,2016
Ashley Nick,NJ,3,1,103,0,0,0,0,1,0,0,0,0,0,0,2016
Cami Privett,HOU,15,11,1056,0,0,3,1,9,1,0,0,0,1,0,2016
Christie Pearce,NJ,20,20,1800,0,0,2,0,5,1,0,0,0,1,0,2016
Dominique Richardson,NJ,2,0,54,0,0,2,1,2,0,0,0,0,0,0,2016
Cari Roccaro,HOU,15,14,1267,0,0,1,0,6,0,1,0,0,2,0,2016
Danielle Schulmann,NJ,3,0,42,0,0,1,1,1,0,0,0,0,0,0,2016
Erin Simon,NJ,19,18,1590,0,2,0,0,16,3,0,0,0,1,0,2016
Nikki Stanton,NJ,12,4,407,0,0,3,1,9,0,1,0,0,3,0,2016
Chestley Strother,HOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
Whitney Church,WAS,11,7,612,0,0,0,0,4,0,0,0,0,0,0,2016
Caprice Dydasco,WAS,12,12,1080,0,2,6,2,9,1,0,0,0,1,0,2016
Cali Farquharson,WAS,16,8,559,0,0,6,4,7,2,0,0,0,0,0,2016
Caroline Van Slambrouck,HOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
Estelle Johnson,WAS,11,11,990,0,0,4,2,4,0,0,0,0,0,0,2016
Alex Arlitt,KC,11,8,712,0,0,2,0,7,0,0,0,0,1,0,2016
Vanessa DiBernardo,CHI,20,20,1785,0,6,25,10,17,0,67,0,0,0,0,2016
Katie Bowen,KC,13,11,959,0,1,3,3,11,0,0,0,0,0,0,2016
Alli Murphy,WAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
Jen Buczkowski,KC,5,5,426,0,0,2,1,9,0,0,0,0,0,0,2016
Amanda Frisbie,KC,3,3,270,0,0,2,0,1,0,2,0,0,0,0,2016
Megan Oyster,WAS,15,15,1341,0,0,1,0,11,0,0,0,0,2,0,2016
Haley Rosen,WAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
Line Sigvardsen Jensen,WAS,3,2,141,0,0,0,0,0,0,0,0,0,0,0,2016
Janelle Kalyn Flaws,CHI,1,0,45,0,0,0,0,1,2,0,0,0,0,0,2016
Shelina Zadorsky,WAS,11,10,911,0,0,1,0,11,0,0,0,0,2,0,2016
Lady Patricia Andrade Rodríguez,WNY,2,0,52,0,0,0,0,2,0,0,0,0,0,0,2016
Halimatu Ibrahim Ayinde,WNY,1,1,45,0,0,1,0,1,0,0,0,0,0,0,2016
Janice Cayman,WNY,3,1,96,0,0,2,1,1,0,1,0,0,1,0,2016
Caroline Kastor,KC,15,3,296,0,2,4,1,5,1,0,0,0,0,0,2016
Lo’eau LaBonta,KC,11,7,693,0,0,9,3,8,1,0,0,0,1,0,2016
Elizabeth Eddy,WNY,20,20,1753,0,2,5,2,31,1,9,0,0,3,0,2016
Mandy Laddish,KC,19,19,1679,0,0,17,10,24,4,0,0,0,0,0,2016
Arin Wright,CHI,20,20,1718,0,4,10,4,13,1,1,0,0,2,0,2016
Kristen Hamilton,WNY,12,0,126,0,0,1,1,6,0,0,0,0,1,0,2016
Molly Menchel,KC,3,2,185,0,0,0,0,3,0,2,0,0,1,0,2016
Ga-Eul Jeon,WNY,2,1,86,0,0,0,0,2,0,1,0,0,0,0,2016
Alanna Kennedy,WNY,15,15,1298,0,0,13,4,17,0,2,0,0,3,0,2016
Adriana Leon,WNY,10,3,345,0,0,4,1,8,2,0,0,0,1,0,2016
Laura Liedle,WNY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
Alexa Newfield,KC,8,2,236,0,0,3,1,5,0,1,0,0,0,0,2016
Sarah Gorden,CHI,4,0,110,0,0,0,0,2,0,0,0,0,0,0,2016
Courtney Niemiec,WNY,6,4,395,0,0,0,0,0,0,0,0,0,0,0,2016
Brianne Reed,KC,7,5,441,0,0,0,0,3,0,0,0,0,1,0,2016
Meredith Speck,WNY,6,5,369,0,1,2,1,4,2,2,0,0,1,0,2016
Brittany Ratcliffe,BOS,15,5,546,0,0,7,1,7,1,0,0,0,3,0,2016
McCall Zerboni,WNY,20,19,1681,0,1,13,5,37,0,2,0,0,4,0,2016
